[49, 50]
[112, 113]
[57, 58]
[64, 65]
[101, 41]
[8, 9]
[61, 11]
[12, 54]
[39, 17]
[50, 41]
[2, 41]
[73, 74]
[94, 41]
[14, 15]
[98, 99]
[18, 19]
[50, 111]
[16, 36]
[75, 43]
[62, 72]
[12, 13]
[80, 18]
[53, 54]
[26, 17]
[16, 91]
[55, 56]
[12, 17]
[87, 88]
[62, 63]
[96, 97]
[4, 43]
[12, 48]
[53, 21]
[12, 107]
[30, 17]
[78, 79]
[69, 70]
[12, 103]
[44, 45]
[28, 29]
[66, 64]
[66, 96]
[92, 21]
[10, 11]
[4, 5]
[94, 95]
[92, 17]
[71, 18]
[24, 102]
[64, 19]
[51, 52]
[53, 17]
[12, 27]
[6, 7]
[33, 34]
[40, 41]
[44, 66]
[108, 109]
[24, 25]
[0, 1]
[16, 21]
[75, 72]
[96, 83]
[75, 76]
[16, 17]
