"junit.textui.ResultPrinter:printErrors","junit.textui.ResultPrinter:printDefects"
"junit.runner.BaseTestRunner:getLoader","junit.runner.BaseTestRunner:useReloadingTestSuiteLoader"
"junit.extensions.ActiveTestSuite:waitUntilFinished","junit.extensions.ActiveTestSuite:testCount"
"junit.swingui.TestRunner:createUI","junit.swingui.TestRunner:createBrowseButton"
"junit.swingui.StatusLine:showError","junit.swingui.StatusLine:setToolTipText"
"junit.swingui.StatusLine:showError","junit.swingui.StatusLine:setText"
"junit.awtui.TestRunner:testEnded","junit.framework.TestResult:runCount"
"junit.swingui.TestRunner:start","junit.swingui.TestRunner:runSuite"
"junit.textui.TestRunner:start","junit.textui.TestRunner:doRun"
"junit.runner.ReloadingTestSuiteLoader:reload","junit.runner.TestCaseClassLoader:loadClass"
"junit.runner.TestCaseClassLoader:loadClass","junit.runner.TestCaseClassLoader:findSystemClass"
"junit.swingui.TestHierarchyRunView:revealFailure","junit.swingui.TestTreeModel:findTest"
"junit.awtui.ProgressBar:scale","junit.awtui.ProgressBar:getBounds"
"junit.awtui.TestRunner:start","junit.awtui.TestRunner:runSuite"
"junit.swingui.TestRunner:runTest","junit.swingui.TestRunner:reset"
"junit.framework.ComparisonFailure:getMessage","junit.framework.ComparisonCompactor:compact"
"junit.swingui.TestTreeModel:findTest","junit.swingui.TestTreeModel:getChildCount"
"junit.textui.TestRunner:runAndWait","junit.textui.TestRunner:doRun"
"junit.awtui.ProgressBar:paintStep","junit.awtui.ProgressBar:getBounds"
"junit.awtui.TestRunner:rerunTest","junit.framework.TestCase:getName"
"junit.awtui.TestRunner:testEnded","junit.framework.TestResult:wasSuccessful"
"junit.runner.ReloadingTestSuiteLoader:reload","junit.runner.ReloadingTestSuiteLoader:createLoader"
"junit.runner.ClassPathTestCollector:collectFilesInPath","junit.runner.ClassPathTestCollector:collectFilesInRoots"
"junit.swingui.TestRunner:createUI","junit.swingui.TestRunner:createFrame"
"junit.runner.TestCaseClassLoader:lookupClassData","junit.runner.TestCaseClassLoader:isJar"
"junit.swingui.DefaultFailureDetailView:showFailure","junit.framework.TestFailure:trace"
"junit.textui.TestRunner:main","junit.textui.TestRunner:start"
"junit.swingui.TestHierarchyRunView:runFinished","junit.framework.TestResult:removeListener"
"junit.swingui.StatusLine:showError","junit.swingui.StatusLine:setFont"
"junit.swingui.TestRunner:runSuite","junit.swingui.TestRunner:setLoading"
"junit.swingui.TestRunner:createUI","junit.swingui.TestRunner:createSuiteCombo"
"junit.swingui.TestTreeModel:isTestSuite","junit.extensions.TestDecorator:getTest"
"junit.awtui.TestRunner:start","junit.awtui.TestRunner:processArguments"
"junit.swingui.TestTreeModel:findTest","junit.swingui.TestTreeModel:isTestSuite"
"junit.runner.LoadingTestCollector:classFromFile","junit.runner.TestCaseClassLoader:isExcluded"
"junit.awtui.ProgressBar:setBounds","junit.awtui.ProgressBar:scale"
"junit.awtui.TestRunner:rerunTest","junit.framework.TestResult:errorCount"
"junit.runner.ClassPathTestCollector:gatherFiles","junit.runner.ClassPathTestCollector:classNameFromFile"
"junit.swingui.TestHierarchyRunView:aboutToStart","junit.framework.TestResult:addListener"
"junit.framework.TestResult:runProtected","junit.framework.TestResult:addFailure"
"junit.runner.ReloadingTestSuiteLoader:load","junit.runner.TestCaseClassLoader:loadClass"
"junit.awtui.TestRunner:testEnded","junit.awtui.ProgressBar:step"
"junit.swingui.TestRunner:runSuite","junit.framework.TestResult:stop"
"junit.framework.TestFailure:trace","junit.framework.TestFailure:thrownException"
"junit.swingui.TestTreeModel:getChildCount","junit.swingui.TestTreeModel:isTestSuite"
"junit.swingui.StatusLine:clear","junit.swingui.StatusLine:setToolTipText"
"junit.swingui.TestRunner:createUI","junit.swingui.TestRunner:createMenus"
"junit.textui.ResultPrinter:printDefects","junit.textui.ResultPrinter:printDefect"
"junit.awtui.ProgressBar:step","junit.awtui.ProgressBar:scale"
"junit.swingui.TestRunner:createUI","junit.swingui.TestRunner:createQuitButton"
"junit.awtui.TestRunner:appendFailure","junit.awtui.TestRunner:failureSelected"
"junit.swingui.TestSuitePanel:addFailure","junit.swingui.TestTreeModel:addFailure"
"junit.framework.TestResult:run","junit.framework.TestResult:startTest"
"junit.framework.TestResult:wasSuccessful","junit.framework.TestResult:failureCount"
"junit.swingui.ProgressBar:reset","junit.swingui.ProgressBar:updateBarColor"
"junit.swingui.ProgressBar:start","junit.swingui.ProgressBar:setMaximum"
"junit.swingui.TestSelector:defineLayout","junit.swingui.TestSelector:getContentPane"
"junit.swingui.TestRunner:browseTestClasses","junit.swingui.TestSelector:show"
"junit.framework.TestSuite:createTest","junit.framework.TestCase:setName"
"junit.runner.BaseTestRunner:addFailure","junit.runner.BaseTestRunner:testFailed"
"junit.swingui.StatusLine:showInfo","junit.swingui.StatusLine:setText"
"junit.textui.ResultPrinter:printDefectHeader","junit.framework.TestFailure:failedTest"
"junit.swingui.TestRunner:createUI","junit.swingui.TestRunner:createFailedPanel"
