[247, 371]
[378, 90]
[465, 466]
[197, 107]
[253, 254]
[136, 76]
[78, 41]
[152, 434, 209]
[199, 13]
[272, 15]
[184, 107]
[280, 231]
[211, 212]
[494, 486]
[376, 377]
[157, 203]
[182, 76]
[89, 90]
[373, 271]
[16, 101]
[200, 231]
[46, 47]
[130, 15]
[62, 63]
[334, 129]
[122, 123]
[350, 351]
[48, 332]
[194, 223]
[37, 234]
[375, 280]
[276, 39]
[305, 98]
[143, 144]
[395, 135]
[114, 90]
[16, 257]
[94, 95]
[173, 355]
[125, 212]
[238, 455, 21]
[238, 15]
[48, 224]
[446, 101]
[533, 326]
[276, 292]
[405, 409]
[232, 233]
[227, 90]
[425, 203]
[66, 67]
[8, 282]
[139, 61]
[58, 59]
[123, 90]
[235, 128]
[20, 91]
[96, 11]
[184, 427]
[405, 406]
[526, 150]
[143, 150]
[148, 330]
[133, 134]
[50, 45]
[306, 287]
[370, 195]
[309, 22]
[414, 166]
[188, 189]
[235, 127]
[175, 452]
[70, 135]
[75, 315]
[175, 234]
[22, 23]
[115, 521]
[65, 90]
[272, 11]
[172, 164]
[2, 3]
[55, 48]
[515, 516]
[99, 323]
[87, 88]
[378, 156]
[449, 16]
[504, 16]
[258, 259]
[270, 72]
[248, 249]
[522, 315]
[352, 5]
[186, 471]
[254, 59]
[58, 332]
[483, 256]
[42, 43]
[393, 51]
[115, 410]
[304, 178]
[281, 229]
[279, 21]
[385, 27]
[81, 227]
[280, 16]
[313, 90]
[140, 141]
[1, 14]
[13, 135]
[186, 264]
[26, 27]
[169, 170]
[353, 427]
[55, 38]
[242, 243]
[42, 68]
[519, 520]
[381, 241]
[192, 401]
[8, 250]
[50, 287]
[85, 138]
[340, 341]
[365, 59]
[125, 254]
[299, 160]
[50, 252]
[229, 61]
[114, 164]
[527, 528]
[60, 369]
[244, 166]
[196, 195]
[306, 307]
[78, 14]
[275, 364]
[309, 310]
[123, 210]
[157, 158]
[450, 451]
[268, 269]
[115, 116]
[235, 473]
[497, 498]
[178, 61]
[73, 281]
